id,name,nameEn,level,category,rawCategory,district,district18,curriculumV2,instructionLanguages,tuitionMin,tuitionMax
"edb_603902000133","AMERICAN SCHOOL HONG KONG","AMERICAN SCHOOL HONG KONG","中學","國際","私立","新界","大埔區","AMERICAN","ENGLISH",0,0
"edb_622060000112","安基司學校附屬國際幼稚園","ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_622060000113","安基司學校附屬國際幼稚園","ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_622060000111","安基司學校附屬國際幼稚園","ANCHORS ACADEMY AFFILIATED INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","新界","元朗區","","",0,0
"edb_565199000212","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_565199000211","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_565199000213","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_565199000113","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_565199000111","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_565199000112","安基司國際幼兒園","ANCHORS INTERNATIONAL NURSERY","幼稚園","國際","私立","新界","大埔區","","",0,0
"edb_535818000312","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_535818000311","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_535818000313","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_535818000211","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_535818000212","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_535818000213","安菲爾國際幼稚園","ANFIELD INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","九龍城區","","",0,0
"edb_587567000123","安菲爾學校","ANFIELD SCHOOL","小學","國際","私立","新界","沙田區","HK_LOCAL","ENGLISH;CANTONESE",0,0
"edb_620785000123","安菲爾聖鮑思高冠英學校","ANFIELD ST. BOSCO KOON YING SCHOOL","小學","國際","私立","新界","元朗區","HK_LOCAL","ENGLISH;CANTONESE",0,0
"edb_604470000111","雅士圖國際幼稚園","ARISTLE INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_604470000112","雅士圖國際幼稚園","ARISTLE INTERNATIONAL KINDERGARTEN","幼稚園","國際","私立","九龍","深水埗區","","",0,0
"edb_216275000612","香港澳洲國際學校","AUSTRALIAN INTERNATIONAL SCHOOL HONG KONG","幼稚園","國際","私立","九龍","九龍城區","","",148800,173800
