officialId,officialNameZh,officialNameEn,schoolType,level,district,financeType,website
531910000111,迦南幼稚園（九龍塘）,CANNAN KINDERGARTEN (KOWLOON TONG),幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.cannan.edu.hk
565628000112,世德幼稚園（梨木樹）,CASTAR KINDERGARTEN (LEI MUK SHUE),幼稚園,KINDERGARTEN,TSUEN WAN,PRIVATE,http://www.castar.edu.hk
564770000111,LEAPFROG KINDERGARTEN,LEAPFROG KINDERGARTEN,幼稚園,KINDERGARTEN,SAI KUNG,PRIVATE,http://www.leapfrogkindergarten.org
579149000112,英基國際幼稚園（曉新）,ESF INTERNATIONAL KINDERGARTEN (HILLSIDE),幼稚園,KINDERGARTEN,WAN CHAI,PRIVATE,N.A.
542598000211,基督教國際學校－幼稚園,INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN,幼稚園,KINDERGARTEN,SHA TIN,PRIVATE,http://www.ics.edu.hk
542598000212,基督教國際學校－幼稚園,INTERNATIONAL CHRISTIAN SCHOOL - KINDERGARTEN,幼稚園,KINDERGARTEN,SHA TIN,PRIVATE,http://www.ics.edu.hk
518077000113,荃灣商會邱健峰幼稚園,TSUEN WAN TRADE ASSOCIATION YAU KIN FUNG KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,N.A.
159000000111,香港聖公會基督顯現堂幼稚園,HONG KONG SHENG KUNG HUI THE CHURCH OF THE EPIPHANY KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.coekg.edu.hk
531910000112,迦南幼稚園（九龍塘）,CANNAN KINDERGARTEN (KOWLOON TONG),幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.cannan.edu.hk
159000000112,香港聖公會基督顯現堂幼稚園,HONG KONG SHENG KUNG HUI THE CHURCH OF THE EPIPHANY KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.coekg.edu.hk
156841000111,聖斯德望天主教幼稚園,ST. STEPHEN'S CATHOLIC KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.stepckg.edu.hk
159000000113,香港聖公會基督顯現堂幼稚園,HONG KONG SHENG KUNG HUI THE CHURCH OF THE EPIPHANY KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.coekg.edu.hk
215120000212,國際英文幼稚園,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,N.A.
159166000113,大埔浸信會幼稚園運頭塘邨分校,TAI PO BAPTIST KINDERGARTEN WAN TAU TONG ESTATE BRANCH,幼稚園,KINDERGARTEN,TAI PO,PRIVATE,http://www.wtt-baptistkg.edu.hk
156841000112,聖斯德望天主教幼稚園,ST. STEPHEN'S CATHOLIC KINDERGARTEN,幼稚園,KINDERGARTEN,KWAI TSING,PRIVATE,http://www.stepckg.edu.hk
215120000112,國際英文幼稚園,ST. CATHERINE'S INTERNATIONAL KINDERGARTEN,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,N.A.
214868000112,金巴倫英文幼稚園,ST. NICHOLAS' ENGLISH KINDERGARTEN,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.stnicholas.edu.hk
325252000113,聖公會深水埗基愛堂幼稚園,SHENG KUNG HUI SHAM SHUI PO KEI OI CHURCH KINDERGARTEN,幼稚園,KINDERGARTEN,SHAM SHUI PO,PRIVATE,http://www.skhkock.edu.hk
214868000111,金巴倫英文幼稚園,ST. NICHOLAS' ENGLISH KINDERGARTEN,幼稚園,KINDERGARTEN,KOWLOON CITY,PRIVATE,http://www.stnicholas.edu.hk
